;;;
;;;
;;;
AREA # 020010101;1;;
;;;
Categorías;Casos;%;Acumulado %
1;13;20;20
2;9;14;34
3;8;13;47
4;3;5;52
5;7;11;63
6;7;11;73
7;6;9;83
8;3;5;88
9;4;6;94
10;4;6;100
Total;64;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010201;2;;
;;;
Categorías;Casos;%;Acumulado %
1;63;40;40
2;29;18;58
3;23;15;73
4;11;7;80
5;14;9;89
6;9;6;94
7;3;2;96
8;4;3;99
9;2;1;100
Total;158;100;100
;;;
Ignorado :;3;;
;;;
AREA # 020010202;3;;
;;;
Categorías;Casos;%;Acumulado %
1;60;47;47
2;24;19;66
3;16;13;79
4;7;6;84
5;11;9;93
6;5;4;97
7;2;2;98
8;1;1;99
9;1;1;100
Total;127;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010203;4;;
;;;
Categorías;Casos;%;Acumulado %
1;49;47;47
2;18;17;64
3;12;12;76
4;5;5;81
5;12;12;92
6;3;3;95
7;1;1;96
8;3;3;99
9;1;1;100
Total;104;100;100
;;;
AREA # 020010204;5;;
;;;
Categorías;Casos;%;Acumulado %
1;74;45;45
2;31;19;64
3;26;16;80
4;6;4;84
5;11;7;91
6;13;8;99
7;1;1;99
9;1;1;100
Total;163;100;100
;;;
AREA # 020010205;6;;
;;;
Categorías;Casos;%;Acumulado %
1;47;49;49
2;19;20;69
3;9;9;79
4;4;4;83
5;7;7;91
6;7;7;98
7;1;1;99
8;1;1;100
Total;95;100;100
;;;
AREA # 020010206;7;;
;;;
Categorías;Casos;%;Acumulado %
1;103;48;48
2;44;21;69
3;26;12;81
4;19;9;90
5;9;4;94
6;8;4;98
7;3;1;99
8;2;1;100
Total;214;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010207;8;;
;;;
Categorías;Casos;%;Acumulado %
1;68;46;46
2;19;13;58
3;25;17;75
4;14;9;85
5;10;7;91
6;6;4;95
7;4;3;98
8;1;1;99
9;2;1;100
Total;149;100;100
;;;
Ignorado :;2;;
;;;
AREA # 020010208;9;;
;;;
Categorías;Casos;%;Acumulado %
1;56;39;39
2;28;19;58
3;22;15;73
4;13;9;82
5;7;5;87
6;12;8;95
7;5;3;99
8;1;1;99
9;1;1;100
Total;145;100;100
;;;
AREA # 020010209;10;;
;;;
Categorías;Casos;%;Acumulado %
1;60;39;39
2;28;18;57
3;27;17;74
4;14;9;83
5;10;6;90
6;6;4;94
7;2;1;95
8;3;2;97
9;3;2;99
10;2;1;100
Total;155;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010210;11;;
;;;
Categorías;Casos;%;Acumulado %
1;35;40;40
2;15;17;57
3;19;22;79
4;4;5;84
5;5;6;90
6;5;6;95
7;2;2;98
8;1;1;99
9;1;1;100
Total;87;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010211;12;;
;;;
Categorías;Casos;%;Acumulado %
1;69;35;35
2;34;17;52
3;42;21;74
4;20;10;84
5;19;10;93
6;8;4;97
7;4;2;99
10;1;1;100
Total;197;100;100
;;;
Ignorado :;3;;
;;;
AREA # 020010212;13;;
;;;
Categorías;Casos;%;Acumulado %
1;138;38;38
2;68;19;56
3;66;18;75
4;33;9;84
5;32;9;92
6;14;4;96
7;10;3;99
8;2;1;99
9;2;1;100
Total;365;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010213;14;;
;;;
Categorías;Casos;%;Acumulado %
1;54;34;34
2;29;18;52
3;27;17;68
4;10;6;75
5;13;8;83
6;9;6;88
7;10;6;94
8;3;2;96
9;4;2;99
10;2;1;100
Total;161;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010214;15;;
;;;
Categorías;Casos;%;Acumulado %
1;85;33;33
2;39;15;48
3;56;22;70
4;23;9;79
5;23;9;88
6;17;7;94
7;7;3;97
8;4;2;98
9;4;2;100
Total;258;100;100
;;;
Ignorado :;3;;
;;;
AREA # 020010215;16;;
;;;
Categorías;Casos;%;Acumulado %
1;97;35;35
2;44;16;51
3;42;15;66
4;24;9;75
5;36;13;88
6;20;7;95
7;6;2;97
8;4;1;99
9;2;1;100
10;1;0;100
Total;276;100;100
;;;
Ignorado :;2;;
;;;
AREA # 020010216;17;;
;;;
Categorías;Casos;%;Acumulado %
1;123;28;28
2;89;20;48
3;79;18;66
4;49;11;78
5;35;8;86
6;23;5;91
7;23;5;96
8;9;2;98
9;8;2;100
Total;438;100;100
;;;
Ignorado :;6;;
;;;
AREA # 020010217;18;;
;;;
Categorías;Casos;%;Acumulado %
1;96;43;43
2;42;19;62
3;35;16;77
4;11;5;82
5;12;5;88
6;14;6;94
7;7;3;97
8;4;2;99
9;3;1;100
Total;224;100;100
;;;
Ignorado :;3;;
;;;
AREA # 020010218;19;;
;;;
Categorías;Casos;%;Acumulado %
1;68;46;46
2;27;18;65
3;20;14;78
4;15;10;88
5;4;3;91
6;4;3;94
7;5;3;97
8;1;1;98
9;2;1;99
10;1;1;100
Total;147;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010219;20;;
;;;
Categorías;Casos;%;Acumulado %
1;67;34;34
2;36;18;52
3;36;18;71
4;16;8;79
5;23;12;90
6;7;4;94
7;9;5;98
9;3;2;100
Total;197;100;100
;;;
Ignorado :;3;;
;;;
AREA # 020010301;21;;
;;;
Categorías;Casos;%;Acumulado %
1;89;47;47
2;39;21;67
3;29;15;83
4;14;7;90
5;9;5;95
6;5;3;97
7;4;2;99
10;1;1;100
Total;190;100;100
;;;
Ignorado :;1;;
;;;
