;;;
;;;
;;;
AREA # 020010101;1;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;33;51;51
Parcialmente insuficiente;30;46;97
Insuficiente;2;3;100
Total;65;100;100
;;;
Ignorado :;28;;
;;;
AREA # 020010201;2;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;16;10;10
Parcialmente insuficiente;112;70;80
Insuficiente;33;21;100
Total;161;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010202;3;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;22;17;17
Parcialmente insuficiente;89;70;87
Insuficiente;17;13;100
Total;128;100;100
;;;
Ignorado :;4;;
;;;
AREA # 020010203;4;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;10;10;10
Parcialmente insuficiente;76;73;83
Insuficiente;18;17;100
Total;104;100;100
;;;
AREA # 020010204;5;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;22;14;14
Parcialmente insuficiente;106;65;79
Insuficiente;35;21;100
Total;163;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010205;6;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;18;19;19
Parcialmente insuficiente;59;62;81
Insuficiente;18;19;100
Total;95;100;100
;;;
AREA # 020010206;7;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;20;9;9
Parcialmente insuficiente;165;77;86
Insuficiente;30;14;100
Total;215;100;100
;;;
AREA # 020010207;8;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;10;7;7
Parcialmente insuficiente;122;81;87
Insuficiente;19;13;100
Total;151;100;100
;;;
AREA # 020010208;9;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;11;8;8
Parcialmente insuficiente;122;84;92
Insuficiente;12;8;100
Total;145;100;100
;;;
AREA # 020010209;10;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;19;12;12
Parcialmente insuficiente;118;76;88
Insuficiente;19;12;100
Total;156;100;100
;;;
AREA # 020010210;11;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;13;15;15
Parcialmente insuficiente;64;73;88
Insuficiente;11;13;100
Total;88;100;100
;;;
AREA # 020010211;12;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;34;17;17
Parcialmente insuficiente;143;72;89
Insuficiente;23;12;100
Total;200;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010212;13;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;77;21;21
Parcialmente insuficiente;260;71;92
Insuficiente;29;8;100
Total;366;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010213;14;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;21;13;13
Parcialmente insuficiente;107;66;79
Insuficiente;34;21;100
Total;162;100;100
;;;
AREA # 020010214;15;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;47;18;18
Parcialmente insuficiente;192;74;92
Insuficiente;22;8;100
Total;261;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010215;16;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;45;16;16
Parcialmente insuficiente;215;77;94
Insuficiente;18;6;100
Total;278;100;100
;;;
AREA # 020010216;17;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;91;21;21
Parcialmente insuficiente;306;69;89
Insuficiente;47;11;100
Total;444;100;100
;;;
AREA # 020010217;18;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;22;10;10
Parcialmente insuficiente;167;74;83
Insuficiente;38;17;100
Total;227;100;100
;;;
AREA # 020010218;19;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;16;11;11
Parcialmente insuficiente;115;78;89
Insuficiente;17;11;100
Total;148;100;100
;;;
AREA # 020010219;20;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;35;18;18
Parcialmente insuficiente;142;71;89
Insuficiente;23;12;100
Total;200;100;100
;;;
AREA # 020010301;21;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;5;3;3
Parcialmente insuficiente;164;86;88
Insuficiente;22;12;100
Total;191;100;100
;;;
AREA # 020010302;22;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;16;10;10
Parcialmente insuficiente;131;81;91
Insuficiente;14;9;100
Total;161;100;100
;;;
Ignorado :;2;;
;;;
AREA # 020010303;23;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;11;6;6
Parcialmente insuficiente;165;83;88
Insuficiente;24;12;100
Total;200;100;100
;;;
AREA # 020010304;24;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;7;5;5
Parcialmente insuficiente;109;83;88
Insuficiente;16;12;100
Total;132;100;100
;;;
Ignorado :;4;;
;;;
AREA # 020010305;25;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;44;11;11
Parcialmente insuficiente;294;71;82
Insuficiente;74;18;100
Total;412;100;100
;;;
Ignorado :;2;;
;;;
AREA # 020010306;26;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;47;14;14
Parcialmente insuficiente;277;81;95
Insuficiente;17;5;100
Total;341;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010307;27;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;19;13;13
Parcialmente insuficiente;124;84;97
Insuficiente;5;3;100
Total;148;100;100
;;;
AREA # 020010308;28;;
;;;
Categorías;Casos;%;Acumulado %
Suficiente;48;19;19
Parcialmente insuficiente;199;77;96
Insuficiente;10;4;100
Total;257;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010309;29;;
;;;
Categorías;Casos;%;Acumulado %
