"radios","LINK","comuna","fraccion","radio","CO_FRAC_RA","Hasta   0.50 personas por cuarto","0.51  -  0.99  personas por cuarto","1.00  -  1.49  personas por cuarto","1.50  -  1.99  personas por cuarto","2.00  -  3.00  personas por cuarto","Más de  3.00 personas por cuarto"
"AREA#020010101","020010101",1,1,1,"1_1_1",35,2,29,6,14,14
"AREA#020010201","020010201",1,2,1,"1_2_1",12,6,39,7,28,9
"AREA#020010202","020010202",1,2,2,"1_2_2",12,2,28,9,35,13
"AREA#020010203","020010203",1,2,3,"1_2_3",11,8,26,11,36,10
"AREA#020010204","020010204",1,2,4,"1_2_4",12,7,29,14,29,9
"AREA#020010205","020010205",1,2,5,"1_2_5",13,5,31,13,28,11
"AREA#020010206","020010206",1,2,6,"1_2_6",8,2,28,7,39,15
"AREA#020010207","020010207",1,2,7,"1_2_7",8,4,31,7,42,9
"AREA#020010208","020010208",1,2,8,"1_2_8",11,3,26,6,33,21
"AREA#020010209","020010209",1,2,9,"1_2_9",8,3,26,8,40,15
"AREA#020010210","020010210",1,2,10,"1_2_10",6,5,31,9,41,9
"AREA#020010211","020010211",1,2,11,"1_2_11",8,7,31,11,34,10
"AREA#020010212","020010212",1,2,12,"1_2_12",7,4,30,11,39,10
"AREA#020010213","020010213",1,2,13,"1_2_13",13,6,35,9,29,9
"AREA#020010214","020010214",1,2,14,"1_2_14",8,6,35,5,39,7
"AREA#020010215","020010215",1,2,15,"1_2_15",11,3,34,6,36,10
"AREA#020010216","020010216",1,2,16,"1_2_16",5,2,31,7,46,9
"AREA#020010217","020010217",1,2,17,"1_2_17",6,2,33,11,37,11
"AREA#020010218","020010218",1,2,18,"1_2_18",7,3,34,5,41,9
"AREA#020010219","020010219",1,2,19,"1_2_19",7,4,32,5,47,7
"AREA#020010301","020010301",1,3,1,"1_3_1",7,2,27,7,40,18
"AREA#020010302","020010302",1,3,2,"1_3_2",6,3,27,8,39,17
"AREA#020010303","020010303",1,3,3,"1_3_3",7,3,31,11,39,11
"AREA#020010304","020010304",1,3,4,"1_3_4",11,4,23,9,34,18
"AREA#020010305","020010305",1,3,5,"1_3_5",6,0,22,9,47,16
"AREA#020010306","020010306",1,3,6,"1_3_6",10,2,27,7,36,18
"AREA#020010307","020010307",1,3,7,"1_3_7",7,5,28,3,45,10
"AREA#020010308","020010308",1,3,8,"1_3_8",4,5,26,11,39,15
"AREA#020010309","020010309",1,3,9,"1_3_9",6,3,27,8,45,11
"AREA#020010310","020010310",1,3,10,"1_3_10",5,4,26,8,43,15
"AREA#020010311","020010311",1,3,11,"1_3_11",7,2,28,6,43,13
"AREA#020010312","020010312",1,3,12,"1_3_12",6,2,26,6,40,21
"AREA#020010313","020010313",1,3,13,"1_3_13",3,3,15,6,53,20
"AREA#020010314","020010314",1,3,14,"1_3_14",5,1,22,7,47,18
"AREA#020010315","020010315",1,3,15,"1_3_15",5,2,32,4,45,13
"AREA#020010316","020010316",1,3,16,"1_3_16",4,3,27,7,46,12
"AREA#020010317","020010317",1,3,17,"1_3_17",3,3,25,9,46,14
"AREA#020010318","020010318",1,3,18,"1_3_18",5,6,19,8,42,19
"AREA#020010319","020010319",1,3,19,"1_3_19",10,4,27,9,37,13
"AREA#020010320","020010320",1,3,20,"1_3_20",4,0,17,9,45,24
"AREA#020010321","020010321",1,3,21,"1_3_21",5,2,25,1,52,16
"AREA#020010322","020010322",1,3,22,"1_3_22",4,1,25,11,41,16
"AREA#020010323","020010323",1,3,23,"1_3_23",6,3,31,10,38,12
"AREA#020010401","020010401",1,4,1,"1_4_1",33,17,32,4,14,1
"AREA#020010402","020010402",1,4,2,"1_4_2",46,21,26,4,3,0
"AREA#020010403","020010403",1,4,3,"1_4_3",43,15,30,6,6,0
"AREA#020010404","020010404",1,4,4,"1_4_4",47,24,23,4,2,0
"AREA#020010405","020010405",1,4,5,"1_4_5",41,24,28,3,4,0
"AREA#020010406","020010406",1,4,6,"1_4_6",46,22,26,2,3,1
"AREA#020010407","020010407",1,4,7,"1_4_7",45,19,26,5,4,0
"AREA#020010408","020010408",1,4,8,"1_4_8",47,21,24,4,4,1
"AREA#020010501","020010501",1,5,1,"1_5_1",51,27,15,3,4,0
"AREA#020010502","020010502",1,5,2,"1_5_2",37,18,33,2,8,1
"AREA#020010503","020010503",1,5,3,"1_5_3",54,18,21,4,2,1
"AREA#020010504","020010504",1,5,4,"1_5_4",46,25,23,3,3,1
"AREA#020010505","020010505",1,5,5,"1_5_5",47,20,28,2,3,0
"AREA#020010506","020010506",1,5,6,"1_5_6",45,18,27,4,5,0
"AREA#020010507","020010507",1,5,7,"1_5_7",39,18,33,4,7,0
"AREA#020010601","020010601",1,6,1,"1_6_1",55,24,16,2,3,0
"AREA#020010602","020010602",1,6,2,"1_6_2",51,26,17,2,4,0
"AREA#020010603","020010603",1,6,3,"1_6_3",61,24,13,1,1,0
"AREA#020010604","020010604",1,6,4,"1_6_4",50,16,26,1,5,1
"AREA#020010605","020010605",1,6,5,"1_6_5",49,21,24,3,4,1
"AREA#020010606","020010606",1,6,6,"1_6_6",54,23,18,2,2,0
"AREA#020010607","020010607",1,6,7,"1_6_7",63,20,13,1,3,0
"AREA#020010608","020010608",1,6,8,"1_6_8",47,19,25,1,7,1
"AREA#020010609","020010609",1,6,9,"1_6_9",54,21,21,1,3,0
