Hacinamiento;;;
;;;
CEPAL/CELADE Redatam+SP 7/29/2015;;;
;;;
Base de datos;;;
 Censo de Población, Hogares y Viviendas 2010;;;
Área Geográfica;;;
 Sels\Prov02.sel;;;
Título;;;
 Hacinamiento;;;
Frecuencia;;;
  de Hacinamiento;;;
;;;
AREA # 020010101;1;;
;;;
Hacinamiento;Casos;%;Acumulado %
Hasta   0.50 personas por cuarto;23;35;35
0.51  -  0.99  personas por cuarto;1;2;37
1.00  -  1.49  personas por cuarto;19;29;66
1.50  -  1.99  personas por cuarto;4;6;72
2.00  -  3.00  personas por cuarto;9;14;86
Más de  3.00 personas por cuarto;9;14;100
Total;65;100;100
;;;
Ignorado :;28;;
;;;
AREA # 020010201;2;;
;;;
Hacinamiento;Casos;%;Acumulado %
Hasta   0.50 personas por cuarto;20;12;12
0.51  -  0.99  personas por cuarto;9;6;18
1.00  -  1.49  personas por cuarto;62;39;57
1.50  -  1.99  personas por cuarto;11;7;63
2.00  -  3.00  personas por cuarto;45;28;91
Más de  3.00 personas por cuarto;14;9;100
Total;161;100;100
;;;
Ignorado :;1;;
;;;
AREA # 020010202;3;;
;;;
Hacinamiento;Casos;%;Acumulado %
Hasta   0.50 personas por cuarto;15;12;12
0.51  -  0.99  personas por cuarto;3;2;14
1.00  -  1.49  personas por cuarto;36;28;42
1.50  -  1.99  personas por cuarto;12;9;52
2.00  -  3.00  personas por cuarto;45;35;87
Más de  3.00 personas por cuarto;17;13;100
Total;128;100;100
;;;
Ignorado :;4;;
;;;
AREA # 020010203;4;;
;;;
Hacinamiento;Casos;%;Acumulado %
Hasta   0.50 personas por cuarto;11;11;11
0.51  -  0.99  personas por cuarto;8;8;18
1.00  -  1.49  personas por cuarto;27;26;44
1.50  -  1.99  personas por cuarto;11;11;55
2.00  -  3.00  personas por cuarto;37;36;90
Más de  3.00 personas por cuarto;10;10;100
Total;104;100;100
;;;
AREA # 020010204;5;;
;;;
Hacinamiento;Casos;%;Acumulado %
Hasta   0.50 personas por cuarto;19;12;12
0.51  -  0.99  personas por cuarto;11;7;18
1.00  -  1.49  personas por cuarto;48;29;48
1.50  -  1.99  personas por cuarto;23;14;62
2.00  -  3.00  personas por cuarto;48;29;91
Más de  3.00 personas por cuarto;14;9;100
Total;163;100;100
;;;
Ignorado :;1;;
