;;;
;;;
;;;
AREA # 020010101;1;;
;;;
Categorías;Casos;%;Acumulado %
0;32;34;34
1;61;66;100
Total;93;100;100
;;;
AREA # 020010201;2;;
;;;
Categorías;Casos;%;Acumulado %
0;39;24;24
1;123;76;100
Total;162;100;100
;;;
AREA # 020010202;3;;
;;;
Categorías;Casos;%;Acumulado %
0;39;30;30
1;93;70;100
Total;132;100;100
;;;
AREA # 020010203;4;;
;;;
Categorías;Casos;%;Acumulado %
0;19;18;18
1;85;82;100
Total;104;100;100
;;;
AREA # 020010204;5;;
;;;
Categorías;Casos;%;Acumulado %
0;25;15;15
1;139;85;100
Total;164;100;100
;;;
AREA # 020010205;6;;
;;;
Categorías;Casos;%;Acumulado %
0;14;15;15
1;81;85;100
Total;95;100;100
;;;
AREA # 020010206;7;;
;;;
Categorías;Casos;%;Acumulado %
0;90;42;42
1;125;58;100
Total;215;100;100
;;;
AREA # 020010207;8;;
;;;
Categorías;Casos;%;Acumulado %
0;63;42;42
1;88;58;100
Total;151;100;100
;;;
AREA # 020010208;9;;
;;;
Categorías;Casos;%;Acumulado %
0;105;72;72
1;40;28;100
Total;145;100;100
;;;
AREA # 020010209;10;;
;;;
Categorías;Casos;%;Acumulado %
0;81;52;52
1;75;48;100
Total;156;100;100
;;;
AREA # 020010210;11;;
;;;
Categorías;Casos;%;Acumulado %
0;41;47;47
1;47;53;100
Total;88;100;100
;;;
AREA # 020010211;12;;
;;;
Categorías;Casos;%;Acumulado %
0;129;64;64
1;72;36;100
Total;201;100;100
;;;
AREA # 020010212;13;;
;;;
Categorías;Casos;%;Acumulado %
0;198;54;54
1;169;46;100
Total;367;100;100
;;;
AREA # 020010213;14;;
;;;
Categorías;Casos;%;Acumulado %
0;85;52;52
1;77;48;100
Total;162;100;100
;;;
AREA # 020010214;15;;
;;;
Categorías;Casos;%;Acumulado %
0;146;56;56
1;116;44;100
Total;262;100;100
;;;
AREA # 020010215;16;;
;;;
Categorías;Casos;%;Acumulado %
0;159;57;57
1;119;43;100
Total;278;100;100
;;;
AREA # 020010216;17;;
;;;
Categorías;Casos;%;Acumulado %
0;326;73;73
1;118;27;100
Total;444;100;100
;;;
AREA # 020010217;18;;
;;;
Categorías;Casos;%;Acumulado %
0;118;52;52
1;109;48;100
Total;227;100;100
;;;
AREA # 020010218;19;;
;;;
Categorías;Casos;%;Acumulado %
0;80;54;54
1;68;46;100
Total;148;100;100
;;;
AREA # 020010219;20;;
;;;
Categorías;Casos;%;Acumulado %
0;112;56;56
1;88;44;100
Total;200;100;100
;;;
AREA # 020010301;21;;
;;;
Categorías;Casos;%;Acumulado %
0;138;72;72
1;53;28;100
Total;191;100;100
;;;
AREA # 020010302;22;;
;;;
Categorías;Casos;%;Acumulado %
0;128;79;79
1;35;21;100
Total;163;100;100
;;;
AREA # 020010303;23;;
;;;
Categorías;Casos;%;Acumulado %
0;152;76;76
1;48;24;100
Total;200;100;100
;;;
AREA # 020010304;24;;
;;;
Categorías;Casos;%;Acumulado %
0;53;39;39
1;83;61;100
Total;136;100;100
;;;
AREA # 020010305;25;;
;;;
Categorías;Casos;%;Acumulado %
0;244;59;59
1;170;41;100
Total;414;100;100
;;;
AREA # 020010306;26;;
;;;
Categorías;Casos;%;Acumulado %
0;286;84;84
1;56;16;100
Total;342;100;100
;;;
AREA # 020010307;27;;
;;;
Categorías;Casos;%;Acumulado %
0;129;87;87
1;19;13;100
Total;148;100;100
;;;
AREA # 020010308;28;;
;;;
Categorías;Casos;%;Acumulado %
0;236;91;91
1;22;9;100
Total;258;100;100
;;;
AREA # 020010309;29;;
;;;
Categorías;Casos;%;Acumulado %
0;331;87;87
1;49;13;100
Total;380;100;100
;;;
AREA # 020010310;30;;
;;;
Categorías;Casos;%;Acumulado %
0;221;85;85
1;40;15;100
Total;261;100;100
;;;
AREA # 020010311;31;;
;;;
Categorías;Casos;%;Acumulado %
0;240;90;90
1;28;10;100
Total;268;100;100
;;;
AREA # 020010312;32;;
;;;
Categorías;Casos;%;Acumulado %
0;153;84;84
1;29;16;100
Total;182;100;100
;;;
AREA # 020010313;33;;
;;;
Categorías;Casos;%;Acumulado %
0;106;90;90
1;12;10;100
Total;118;100;100
;;;
AREA # 020010314;34;;
;;;
Categorías;Casos;%;Acumulado %
0;119;80;80
1;29;20;100
Total;148;100;100
;;;
AREA # 020010315;35;;
;;;
Categorías;Casos;%;Acumulado %
0;284;92;92
1;26;8;100
Total;310;100;100
;;;
AREA # 020010316;36;;
;;;
Categorías;Casos;%;Acumulado %
0;229;90;90
1;25;10;100
Total;254;100;100
;;;
AREA # 020010317;37;;
;;;
Categorías;Casos;%;Acumulado %
0;154;81;81
1;36;19;100
Total;190;100;100
;;;
AREA # 020010318;38;;
;;;
Categorías;Casos;%;Acumulado %
0;208;90;90
1;23;10;100
Total;231;100;100
;;;
AREA # 020010319;39;;
;;;
Categorías;Casos;%;Acumulado %
0;226;66;66
1;117;34;100
Total;343;100;100
;;;
AREA # 020010320;40;;
;;;
Categorías;Casos;%;Acumulado %
0;97;84;84
1;18;16;100
Total;115;100;100
;;;
AREA # 020010321;41;;
;;;
Categorías;Casos;%;Acumulado %
0;105;96;96
1;4;4;100
Total;109;100;100
;;;
AREA # 020010322;42;;
;;;
Categorías;Casos;%;Acumulado %
0;175;85;85
1;30;15;100
Total;205;100;100
;;;
AREA # 020010323;43;;
;;;
Categorías;Casos;%;Acumulado %
0;200;75;75
1;67;25;100
Total;267;100;100
;;;
AREA # 020010401;44;;
;;;
