Al menos un indicador NBI;;;
;;;
CEPAL/CELADE Redatam+SP 7/29/2015;;;
;;;
Base de datos;;;
 Censo de Población, Hogares y Viviendas 2010;;;
Área Geográfica;;;
 Sels\Prov02.sel;;;
Título;;;
 Al menos un indicador NBI;;;
Frecuencia;;;
  de Al menos un indicador NBI;;;
;;;
AREA # 020010101;1;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;46;71;71
Hogares con NBI;19;29;100
Total;65;100;100
;;;
NSA :;28;;
;;;
AREA # 020010201;2;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;118;73;73
Hogares con NBI;43;27;100
Total;161;100;100
;;;
NSA :;1;;
;;;
AREA # 020010202;3;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;103;80;80
Hogares con NBI;25;20;100
Total;128;100;100
;;;
NSA :;4;;
;;;
AREA # 020010203;4;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;79;76;76
Hogares con NBI;25;24;100
Total;104;100;100
;;;
AREA # 020010204;5;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;140;86;86
Hogares con NBI;23;14;100
Total;163;100;100
;;;
NSA :;1;;
;;;
AREA # 020010205;6;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;79;83;83
Hogares con NBI;16;17;100
Total;95;100;100
;;;
AREA # 020010206;7;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;158;73;73
Hogares con NBI;57;27;100
Total;215;100;100
;;;
AREA # 020010207;8;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;100;66;66
Hogares con NBI;51;34;100
Total;151;100;100
;;;
AREA # 020010208;9;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;90;62;62
Hogares con NBI;55;38;100
Total;145;100;100
;;;
AREA # 020010209;10;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;102;65;65
Hogares con NBI;54;35;100
Total;156;100;100
;;;
AREA # 020010210;11;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;72;82;82
Hogares con NBI;16;18;100
Total;88;100;100
;;;
AREA # 020010211;12;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;147;74;74
Hogares con NBI;53;27;100
Total;200;100;100
;;;
NSA :;1;;
;;;
AREA # 020010212;13;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;255;70;70
Hogares con NBI;111;30;100
Total;366;100;100
;;;
NSA :;1;;
;;;
AREA # 020010213;14;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;125;77;77
Hogares con NBI;37;23;100
Total;162;100;100
;;;
AREA # 020010214;15;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;165;63;63
Hogares con NBI;96;37;100
Total;261;100;100
;;;
NSA :;1;;
;;;
AREA # 020010215;16;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;181;65;65
Hogares con NBI;97;35;100
Total;278;100;100
;;;
AREA # 020010216;17;;
;;;
Al menos un indicador NBI;Casos;%;Acumulado %
Hogares sin NBI;272;61;61
Hogares con NBI;172;39;100
Total;444;100;100
;;;
AREA # 020010217;18;;
;;;
