Régimen de tenencia;;;
;;;
CEPAL/CELADE Redatam+SP 7/26/2015;;;
;;;
Base de datos;;;
 Censo de Población, Hogares y Viviendas 2010;;;
Área Geográfica;;;
 Sels\Prov02.sel;;;
Título;;;
 Régimen de tenencia;;;
Frecuencia;;;
  de Régimen de tenencia;;;
;;;
AREA # 020010101;1;;
;;;
Régimen de tenencia;Casos;%;Acumulado %
Propietario de la vivienda y del terreno;17;26;26
Propietario sólo de la vivienda;6;9;35
Inquilino;23;35;71
Ocupante por préstamo;2;3;74
Ocupante por trabajo;9;14;88
Otra situación;8;12;100
Total;65;100;100
;;;
NSA :;28;;
;;;
AREA # 020010201;2;;
;;;
Régimen de tenencia;Casos;%;Acumulado %
Propietario de la vivienda y del terreno;103;64;64
Propietario sólo de la vivienda;26;16;80
Inquilino;20;12;93
Ocupante por préstamo;7;4;97
Ocupante por trabajo;1;1;98
Otra situación;4;2;100
Total;161;100;100
;;;
NSA :;1;;
;;;
AREA # 020010202;3;;
;;;
Régimen de tenencia;Casos;%;Acumulado %
Propietario de la vivienda y del terreno;72;56;56
Propietario sólo de la vivienda;35;27;84
Inquilino;14;11;95
Ocupante por préstamo;4;3;98
Ocupante por trabajo;1;1;98
Otra situación;2;2;100
Total;128;100;100
;;;
NSA :;4;;
;;;
AREA # 020010203;4;;
;;;
Régimen de tenencia;Casos;%;Acumulado %
Propietario de la vivienda y del terreno;63;61;61
Propietario sólo de la vivienda;21;20;81
Inquilino;11;11;91
Ocupante por préstamo;6;6;97
Otra situación;3;3;100
Total;104;100;100
;;;
AREA # 020010204;5;;
;;;
Régimen de tenencia;Casos;%;Acumulado %
Propietario de la vivienda y del terreno;85;52;52
Propietario sólo de la vivienda;36;22;74
Inquilino;5;3;77
Ocupante por préstamo;8;5;82
Otra situación;29;18;100
Total;163;100;100
;;;
NSA :;1;;
;;;
AREA # 020010205;6;;
;;;
Régimen de tenencia;Casos;%;Acumulado %
Propietario de la vivienda y del terreno;63;66;66
Propietario sólo de la vivienda;19;20;86
Inquilino;11;12;98
Otra situación;2;2;100
Total;95;100;100
;;;
AREA # 020010206;7;;
;;;
Régimen de tenencia;Casos;%;Acumulado %
Propietario de la vivienda y del terreno;129;60;60
Propietario sólo de la vivienda;44;20;80
Inquilino;35;16;97
Ocupante por préstamo;6;3;100
Otra situación;1;0;100
Total;215;100;100
;;;
AREA # 020010207;8;;
;;;
Régimen de tenencia;Casos;%;Acumulado %
Propietario de la vivienda y del terreno;65;43;43
Propietario sólo de la vivienda;24;16;59
Inquilino;51;34;93
Ocupante por préstamo;4;3;95
Otra situación;7;5;100
Total;151;100;100
;;;
AREA # 020010208;9;;
;;;
Régimen de tenencia;Casos;%;Acumulado %
Propietario de la vivienda y del terreno;55;38;38
