"areas","LINK","comuna","fraccion","radio","CO_FRAC_RA","cantidad","capeco"
"AREA#020010101","020010101",1,1,1,"1_1_1",93,6.88
"AREA#020010201","020010201",1,2,1,"1_2_1",162,4.32
"AREA#020010202","020010202",1,2,2,"1_2_2",132,3.74
"AREA#020010203","020010203",1,2,3,"1_2_3",104,4.05
"AREA#020010204","020010204",1,2,4,"1_2_4",164,3.96
"AREA#020010205","020010205",1,2,5,"1_2_5",95,3.67
"AREA#020010206","020010206",1,2,6,"1_2_6",215,3.56
"AREA#020010207","020010207",1,2,7,"1_2_7",151,4.17
"AREA#020010208","020010208",1,2,8,"1_2_8",145,4.37
"AREA#020010209","020010209",1,2,9,"1_2_9",156,4.44
"AREA#020010210","020010210",1,2,10,"1_2_10",88,4.28
"AREA#020010211","020010211",1,2,11,"1_2_11",201,4.33
"AREA#020010212","020010212",1,2,12,"1_2_12",367,4.35
"AREA#020010213","020010213",1,2,13,"1_2_13",162,5.1
"AREA#020010214","020010214",1,2,14,"1_2_14",262,4.65
"AREA#020010215","020010215",1,2,15,"1_2_15",278,4.72
"AREA#020010216","020010216",1,2,16,"1_2_16",444,5.08
"AREA#020010217","020010217",1,2,17,"1_2_17",227,4.27
"AREA#020010218","020010218",1,2,18,"1_2_18",148,4.05
"AREA#020010219","020010219",1,2,19,"1_2_19",200,4.56
"AREA#020010301","020010301",1,3,1,"1_3_1",191,3.7
"AREA#020010302","020010302",1,3,2,"1_3_2",163,4.05
"AREA#020010303","020010303",1,3,3,"1_3_3",200,4.08
"AREA#020010304","020010304",1,3,4,"1_3_4",136,3.77
"AREA#020010305","020010305",1,3,5,"1_3_5",414,3.96
"AREA#020010306","020010306",1,3,6,"1_3_6",342,4.32
"AREA#020010307","020010307",1,3,7,"1_3_7",148,4.43
"AREA#020010308","020010308",1,3,8,"1_3_8",258,4.11
"AREA#020010309","020010309",1,3,9,"1_3_9",380,4.84
"AREA#020010310","020010310",1,3,10,"1_3_10",261,4.33
"AREA#020010311","020010311",1,3,11,"1_3_11",268,4.54
"AREA#020010312","020010312",1,3,12,"1_3_12",182,3.95
"AREA#020010313","020010313",1,3,13,"1_3_13",118,4.29
"AREA#020010314","020010314",1,3,14,"1_3_14",148,3.71
"AREA#020010315","020010315",1,3,15,"1_3_15",310,4.04
"AREA#020010316","020010316",1,3,16,"1_3_16",254,4.61
"AREA#020010317","020010317",1,3,17,"1_3_17",190,3.85
"AREA#020010318","020010318",1,3,18,"1_3_18",231,3.98
"AREA#020010319","020010319",1,3,19,"1_3_19",343,4.17
"AREA#020010320","020010320",1,3,20,"1_3_20",115,3.86
"AREA#020010321","020010321",1,3,21,"1_3_21",109,4.06
"AREA#020010322","020010322",1,3,22,"1_3_22",205,3.94
"AREA#020010323","020010323",1,3,23,"1_3_23",267,3.71
"AREA#020010401","020010401",1,4,1,"1_4_1",663,9.71
"AREA#020010402","020010402",1,4,2,"1_4_2",616,10.59
"AREA#020010403","020010403",1,4,3,"1_4_3",470,10.13
"AREA#020010404","020010404",1,4,4,"1_4_4",605,11.1
"AREA#020010405","020010405",1,4,5,"1_4_5",384,10.13
"AREA#020010406","020010406",1,4,6,"1_4_6",487,10.58
"AREA#020010407","020010407",1,4,7,"1_4_7",551,10.18
"AREA#020010408","020010408",1,4,8,"1_4_8",452,9.79
"AREA#020010501","020010501",1,5,1,"1_5_1",257,11.4
"AREA#020010502","020010502",1,5,2,"1_5_2",240,10.42
"AREA#020010503","020010503",1,5,3,"1_5_3",408,11.2
"AREA#020010504","020010504",1,5,4,"1_5_4",491,10.66
"AREA#020010505","020010505",1,5,5,"1_5_5",244,10.64
"AREA#020010506","020010506",1,5,6,"1_5_6",368,10.85
"AREA#020010507","020010507",1,5,7,"1_5_7",270,10.96
"AREA#020010601","020010601",1,6,1,"1_6_1",330,11.82
"AREA#020010602","020010602",1,6,2,"1_6_2",212,12.54
"AREA#020010603","020010603",1,6,3,"1_6_3",427,12.99
"AREA#020010604","020010604",1,6,4,"1_6_4",397,12.17
"AREA#020010605","020010605",1,6,5,"1_6_5",170,11.46
"AREA#020010606","020010606",1,6,6,"1_6_6",254,11.5
"AREA#020010607","020010607",1,6,7,"1_6_7",227,12.09
"AREA#020010608","020010608",1,6,8,"1_6_8",302,11.5
"AREA#020010609","020010609",1,6,9,"1_6_9",419,11.6
"AREA#020010610","020010610",1,6,10,"1_6_10",195,12.16
"AREA#020010701","020010701",1,7,1,"1_7_1",266,11.54
"AREA#020010702","020010702",1,7,2,"1_7_2",123,11.49
"AREA#020010703","020010703",1,7,3,"1_7_3",128,11.84
"AREA#020010704","020010704",1,7,4,"1_7_4",281,11.39
"AREA#020010705","020010705",1,7,5,"1_7_5",149,11.38
"AREA#020010706","020010706",1,7,6,"1_7_6",84,10.12
"AREA#020010707","020010707",1,7,7,"1_7_7",251,10.62
"AREA#020010708","020010708",1,7,8,"1_7_8",242,10.77
"AREA#020010709","020010709",1,7,9,"1_7_9",184,10.24
"AREA#020010710","020010710",1,7,10,"1_7_10",233,11.07
"AREA#020010711","020010711",1,7,11,"1_7_11",140,11.49
"AREA#020010712","020010712",1,7,12,"1_7_12",179,10.18
"AREA#020010713","020010713",1,7,13,"1_7_13",69,9.78
"AREA#020010801","020010801",1,8,1,"1_8_1",189,10.47
"AREA#020010802","020010802",1,8,2,"1_8_2",568,10.64
"AREA#020010803","020010803",1,8,3,"1_8_3",453,10.89
"AREA#020010804","020010804",1,8,4,"1_8_4",298,10.39
"AREA#020010805","020010805",1,8,5,"1_8_5",216,11.04
"AREA#020010806","020010806",1,8,6,"1_8_6",574,10.73
"AREA#020010807","020010807",1,8,7,"1_8_7",562,10.67
"AREA#020010808","020010808",1,8,8,"1_8_8",190,10.21
"AREA#020010809","020010809",1,8,9,"1_8_9",261,10.07
"AREA#020010810","020010810",1,8,10,"1_8_10",189,11.04
"AREA#020010901","020010901",1,9,1,"1_9_1",161,10.83
"AREA#020010902","020010902",1,9,2,"1_9_2",193,8.96
"AREA#020010903","020010903",1,9,3,"1_9_3",198,10.63
"AREA#020010904","020010904",1,9,4,"1_9_4",134,9.7
"AREA#020010905","020010905",1,9,5,"1_9_5",192,8.99
"AREA#020010906","020010906",1,9,6,"1_9_6",177,9.38
"AREA#020010907","020010907",1,9,7,"1_9_7",292,10.37
"AREA#020010908","020010908",1,9,8,"1_9_8",149,10.1
"AREA#020010909","020010909",1,9,9,"1_9_9",241,10.2
"AREA#020010910","020010910",1,9,10,"1_9_10",115,9.63
"AREA#020010911","020010911",1,9,11,"1_9_11",119,10.92
"AREA#020010912","020010912",1,9,12,"1_9_12",80,10.59
"AREA#020010913","020010913",1,9,13,"1_9_13",203,10.53
"AREA#020010914","020010914",1,9,14,"1_9_14",148,8.68
"AREA#020010915","020010915",1,9,15,"1_9_15",119,9.47
"AREA#020010916","020010916",1,9,16,"1_9_16",352,8.26
"AREA#020010917","020010917",1,9,17,"1_9_17",207,9.87
"AREA#020010918","020010918",1,9,18,"1_9_18",173,10.99
"AREA#020010919","020010919",1,9,19,"1_9_19",62,9.23
"AREA#020011001","020011001",1,10,1,"1_10_1",121,11.41
"AREA#020011002","020011002",1,10,2,"1_10_2",280,11.15
"AREA#020011003","020011003",1,10,3,"1_10_3",516,10.29
"AREA#020011004","020011004",1,10,4,"1_10_4",223,10.94
"AREA#020011005","020011005",1,10,5,"1_10_5",236,10.87
"AREA#020011006","020011006",1,10,6,"1_10_6",265,10.71
"AREA#020011007","020011007",1,10,7,"1_10_7",159,9.94
"AREA#020011008","020011008",1,10,8,"1_10_8",154,9.88
"AREA#020011009","020011009",1,10,9,"1_10_9",162,9.56
"AREA#020011010","020011010",1,10,10,"1_10_10",296,9.06
"AREA#020011011","020011011",1,10,11,"1_10_11",351,10.71
"AREA#020011012","020011012",1,10,12,"1_10_12",292,10.48
"AREA#020011013","020011013",1,10,13,"1_10_13",347,10.21
"AREA#020011014","020011014",1,10,14,"1_10_14",112,10.39
"AREA#020011101","020011101",1,11,1,"1_11_1",225,9.04
"AREA#020011102","020011102",1,11,2,"1_11_2",284,10.12
"AREA#020011103","020011103",1,11,3,"1_11_3",201,8.37
"AREA#020011104","020011104",1,11,4,"1_11_4",339,10.38
"AREA#020011105","020011105",1,11,5,"1_11_5",252,8.9
"AREA#020011106","020011106",1,11,6,"1_11_6",211,9.73
"AREA#020011107","020011107",1,11,7,"1_11_7",296,10.57
"AREA#020011108","020011108",1,11,8,"1_11_8",354,9.84
"AREA#020011109","020011109",1,11,9,"1_11_9",219,9.85
"AREA#020011110","020011110",1,11,10,"1_11_10",276,9.49
"AREA#020011111","020011111",1,11,11,"1_11_11",126,9.04
"AREA#020011112","020011112",1,11,12,"1_11_12",409,9.44
"AREA#020011113","020011113",1,11,13,"1_11_13",296,9.81
"AREA#020011114","020011114",1,11,14,"1_11_14",292,10.11
"AREA#020011201","020011201",1,12,1,"1_12_1",120,9.22
"AREA#020011202","020011202",1,12,2,"1_12_2",129,11.13
"AREA#020011203","020011203",1,12,3,"1_12_3",320,9.25
"AREA#020011204","020011204",1,12,4,"1_12_4",211,8.18
"AREA#020011205","020011205",1,12,5,"1_12_5",276,9.97
"AREA#020011206","020011206",1,12,6,"1_12_6",204,8.18
"AREA#020011207","020011207",1,12,7,"1_12_7",351,8.77
"AREA#020011208","020011208",1,12,8,"1_12_8",135,10.16
"AREA#020011209","020011209",1,12,9,"1_12_9",361,9.66
"AREA#020011210","020011210",1,12,10,"1_12_10",104,11.13
"AREA#020011211","020011211",1,12,11,"1_12_11",142,10.82
"AREA#020011212","020011212",1,12,12,"1_12_12",96,9.91
"AREA#020011301","020011301",1,13,1,"1_13_1",165,11.81
"AREA#020011302","020011302",1,13,2,"1_13_2",60,13.82
"AREA#020011303","020011303",1,13,3,"1_13_3",21,10.52
"AREA#020011304","020011304",1,13,4,"1_13_4",137,13.4
"AREA#020011305","020011305",1,13,5,"1_13_5",154,12.88
"AREA#020011306","020011306",1,13,6,"1_13_6",100,13.79
"AREA#020011307","020011307",1,13,7,"1_13_7",241,13.68
"AREA#020011308","020011308",1,13,8,"1_13_8",156,12.63
"AREA#020011309","020011309",1,13,9,"1_13_9",158,12.57
"AREA#020011310","020011310",1,13,10,"1_13_10",235,12.67
"AREA#020011311","020011311",1,13,11,"1_13_11",142,13.15
"AREA#020011312","020011312",1,13,12,"1_13_12",138,13.33
"AREA#020011313","020011313",1,13,13,"1_13_13",108,12.79
"AREA#020011314","020011314",1,13,14,"1_13_14",663,5.14
"AREA#020011401","020011401",1,14,1,"1_14_1",258,9.48
"AREA#020011402","020011402",1,14,2,"1_14_2",233,6.3
"AREA#020011403","020011403",1,14,3,"1_14_3",196,9.64
"AREA#020011404","020011404",1,14,4,"1_14_4",39,11.05
"AREA#020011405","020011405",1,14,5,"1_14_5",229,9.08
"AREA#020011406","020011406",1,14,6,"1_14_6",295,9.04
"AREA#020011407","020011407",1,14,7,"1_14_7",219,10.64
"AREA#020011408","020011408",1,14,8,"1_14_8",198,8.04
"AREA#020011409","020011409",1,14,9,"1_14_9",246,8.75
"AREA#020011410","020011410",1,14,10,"1_14_10",220,11.53
"AREA#020011411","020011411",1,14,11,"1_14_11",253,10
"AREA#020011412","020011412",1,14,12,"1_14_12",220,9.02
"AREA#020011501","020011501",1,15,1,"1_15_1",184,9.26
"AREA#020011502","020011502",1,15,2,"1_15_2",251,9.52
"AREA#020011503","020011503",1,15,3,"1_15_3",200,10.3
"AREA#020011504","020011504",1,15,4,"1_15_4",337,11.18
"AREA#020011505","020011505",1,15,5,"1_15_5",191,8.43
"AREA#020011506","020011506",1,15,6,"1_15_6",310,8.75
"AREA#020011507","020011507",1,15,7,"1_15_7",271,8.79
"AREA#020011508","020011508",1,15,8,"1_15_8",313,7.72
"AREA#020011509","020011509",1,15,9,"1_15_9",354,8.25
"AREA#020011510","020011510",1,15,10,"1_15_10",292,9.34
"AREA#020011511","020011511",1,15,11,"1_15_11",282,8.51
"AREA#020011601","020011601",1,16,1,"1_16_1",198,8.47
"AREA#020011602","020011602",1,16,2,"1_16_2",165,9.92
"AREA#020011603","020011603",1,16,3,"1_16_3",424,9.59
"AREA#020011604","020011604",1,16,4,"1_16_4",350,10.1
"AREA#020011605","020011605",1,16,5,"1_16_5",208,8.5
"AREA#020011606","020011606",1,16,6,"1_16_6",228,8.59
"AREA#020011607","020011607",1,16,7,"1_16_7",477,9.07
"AREA#020011608","020011608",1,16,8,"1_16_8",222,9.01
"AREA#020011609","020011609",1,16,9,"1_16_9",160,10.44
"AREA#020011610","020011610",1,16,10,"1_16_10",291,9.51
"AREA#020011611","020011611",1,16,11,"1_16_11",218,9.44
"AREA#020011612","020011612",1,16,12,"1_16_12",140,8.76
"AREA#020011701","020011701",1,17,1,"1_17_1",391,8.83
"AREA#020011702","020011702",1,17,2,"1_17_2",303,9.12
"AREA#020011703","020011703",1,17,3,"1_17_3",325,8.62
"AREA#020011704","020011704",1,17,4,"1_17_4",289,9.35
"AREA#020011705","020011705",1,17,5,"1_17_5",256,9.07
"AREA#020011706","020011706",1,17,6,"1_17_6",370,8.71
"AREA#020011707","020011707",1,17,7,"1_17_7",323,8.94
"AREA#020011708","020011708",1,17,8,"1_17_8",271,8.64
"AREA#020011709","020011709",1,17,9,"1_17_9",239,9.1
"AREA#020011710","020011710",1,17,10,"1_17_10",279,8.72
"AREA#020011711","020011711",1,17,11,"1_17_11",220,9.45
"AREA#020011801","020011801",1,18,1,"1_18_1",443,9.22
"AREA#020011802","020011802",1,18,2,"1_18_2",360,9.56
"AREA#020011803","020011803",1,18,3,"1_18_3",295,8.99
"AREA#020011804","020011804",1,18,4,"1_18_4",343,8.54
"AREA#020011805","020011805",1,18,5,"1_18_5",277,9.31
"AREA#020011806","020011806",1,18,6,"1_18_6",507,8.33
"AREA#020011807","020011807",1,18,7,"1_18_7",318,8.79
"AREA#020011808","020011808",1,18,8,"1_18_8",302,9.17
"AREA#020011809","020011809",1,18,9,"1_18_9",303,9.64
"AREA#020011901","020011901",1,19,1,"1_19_1",424,8.64
"AREA#020011902","020011902",1,19,2,"1_19_2",501,8.91
"AREA#020011903","020011903",1,19,3,"1_19_3",148,9.57
"AREA#020011904","020011904",1,19,4,"1_19_4",304,9.09
"AREA#020011905","020011905",1,19,5,"1_19_5",274,9.03
"AREA#020011906","020011906",1,19,6,"1_19_6",218,8.25
"AREA#020011907","020011907",1,19,7,"1_19_7",327,8.15
"AREA#020011908","020011908",1,19,8,"1_19_8",163,7.12
"AREA#020011909","020011909",1,19,9,"1_19_9",224,9.54
"AREA#020012001","020012001",1,20,1,"1_20_1",260,8.4
"AREA#020012002","020012002",1,20,2,"1_20_2",299,8.2
"AREA#020012003","020012003",1,20,3,"1_20_3",238,7.9
"AREA#020012004","020012004",1,20,4,"1_20_4",343,8.18
"AREA#020012005","020012005",1,20,5,"1_20_5",352,8.63
"AREA#020012006","020012006",1,20,6,"1_20_6",337,8.58
"AREA#020012007","020012007",1,20,7,"1_20_7",207,8.48
"AREA#020012008","020012008",1,20,8,"1_20_8",219,7.77
"AREA#020012009","020012009",1,20,9,"1_20_9",247,8.47
"AREA#020012010","020012010",1,20,10,"1_20_10",318,7.34
"AREA#020012101","020012101",1,21,1,"1_21_1",267,8.22
"AREA#020012102","020012102",1,21,2,"1_21_2",266,8.38
"AREA#020012103","020012103",1,21,3,"1_21_3",170,8.21
"AREA#020012104","020012104",1,21,4,"1_21_4",501,7.56
"AREA#020012105","020012105",1,21,5,"1_21_5",277,8.36
"AREA#020012106","020012106",1,21,6,"1_21_6",266,8.61
"AREA#020012107","020012107",1,21,7,"1_21_7",333,8.41
"AREA#020012108","020012108",1,21,8,"1_21_8",243,8.34
"AREA#020012109","020012109",1,21,9,"1_21_9",329,8.48
"AREA#020012110","020012110",1,21,10,"1_21_10",378,8.8
"AREA#020012201","020012201",1,22,1,"1_22_1",267,9.78
"AREA#020012202","020012202",1,22,2,"1_22_2",424,9.16
"AREA#020012203","020012203",1,22,3,"1_22_3",371,8.51
"AREA#020012204","020012204",1,22,4,"1_22_4",209,9.05
"AREA#020012205","020012205",1,22,5,"1_22_5",188,10.02
"AREA#020012206","020012206",1,22,6,"1_22_6",261,9.24
"AREA#020012207","020012207",1,22,7,"1_22_7",270,9.32
"AREA#020012208","020012208",1,22,8,"1_22_8",278,9.36
"AREA#020012209","020012209",1,22,9,"1_22_9",377,8.45
"AREA#020012210","020012210",1,22,10,"1_22_10",583,8.63
"AREA#020012301","020012301",1,23,1,"1_23_1",273,9.92
"AREA#020012302","020012302",1,23,2,"1_23_2",220,9.87
"AREA#020012303","020012303",1,23,3,"1_23_3",379,9.76
"AREA#020012304","020012304",1,23,4,"1_23_4",132,8.36
"AREA#020012305","020012305",1,23,5,"1_23_5",228,9.21
"AREA#020012306","020012306",1,23,6,"1_23_6",215,9.32
"AREA#020012307","020012307",1,23,7,"1_23_7",265,7.64
"AREA#020012308","020012308",1,23,8,"1_23_8",316,9.72
"AREA#020012309","020012309",1,23,9,"1_23_9",406,9.39
"AREA#020012310","020012310",1,23,10,"1_23_10",151,8.7
"AREA#020012401","020012401",1,24,1,"1_24_1",115,8.91
"AREA#020012402","020012402",1,24,2,"1_24_2",147,10.65
"AREA#020012403","020012403",1,24,3,"1_24_3",205,9.03
"AREA#020012404","020012404",1,24,4,"1_24_4",169,9.9
"AREA#020012405","020012405",1,24,5,"1_24_5",168,9.97
"AREA#020012406","020012406",1,24,6,"1_24_6",369,9.92
"AREA#020012407","020012407",1,24,7,"1_24_7",261,10.33
"AREA#020012408","020012408",1,24,8,"1_24_8",185,8.38
"AREA#020012501","020012501",1,25,1,"1_25_1",175,9.87
"AREA#020012502","020012502",1,25,2,"1_25_2",180,10.16
"AREA#020012503","020012503",1,25,3,"1_25_3",224,10.13
"AREA#020012504","020012504",1,25,4,"1_25_4",430,9.11
"AREA#020012505","020012505",1,25,5,"1_25_5",228,9.67
"AREA#020012506","020012506",1,25,6,"1_25_6",351,8.86
"AREA#020012507","020012507",1,25,7,"1_25_7",194,9.41
"AREA#020012508","020012508",1,25,8,"1_25_8",323,10.1
"AREA#020012509","020012509",1,25,9,"1_25_9",214,7.89
"AREA#020012510","020012510",1,25,10,"1_25_10",227,9.39
"AREA#020012511","020012511",1,25,11,"1_25_11",253,11.17
"AREA#020012601","020012601",1,26,1,"1_26_1",258,8.3
"AREA#020012602","020012602",1,26,2,"1_26_2",320,8.67
"AREA#020012603","020012603",1,26,3,"1_26_3",217,9.81
"AREA#020012604","020012604",1,26,4,"1_26_4",244,9.59
"AREA#020012605","020012605",1,26,5,"1_26_5",310,7.91
"AREA#020012606","020012606",1,26,6,"1_26_6",214,9.98
"AREA#020012607","020012607",1,26,7,"1_26_7",142,8.89
"AREA#020012608","020012608",1,26,8,"1_26_8",213,9.01
"AREA#020012609","020012609",1,26,9,"1_26_9",316,9.26
"AREA#020012701","020012701",1,27,1,"1_27_1",237,7.69
"AREA#020012702","020012702",1,27,2,"1_27_2",286,6.12
"AREA#020012703","020012703",1,27,3,"1_27_3",297,6.61
"AREA#020012704","020012704",1,27,4,"1_27_4",326,6.78
"AREA#020012705","020012705",1,27,5,"1_27_5",288,7.55
"AREA#020012706","020012706",1,27,6,"1_27_6",360,6.09
"AREA#020012707","020012707",1,27,7,"1_27_7",268,6.76
"AREA#020012708","020012708",1,27,8,"1_27_8",266,7.8
"AREA#020012709","020012709",1,27,9,"1_27_9",324,8.17
"AREA#020012710","020012710",1,27,10,"1_27_10",248,9.67
"AREA#020012801","020012801",1,28,1,"1_28_1",222,7.77
"AREA#020012802","020012802",1,28,2,"1_28_2",347,7.24
"AREA#020012803","020012803",1,28,3,"1_28_3",245,7.08
"AREA#020012804","020012804",1,28,4,"1_28_4",283,8.25
"AREA#020012805","020012805",1,28,5,"1_28_5",354,7.67
"AREA#020012806","020012806",1,28,6,"1_28_6",281,6.63
"AREA#020012807","020012807",1,28,7,"1_28_7",314,7.95
"AREA#020012808","020012808",1,28,8,"1_28_8",113,8.01
"AREA#020012809","020012809",1,28,9,"1_28_9",266,6.56
"AREA#020012810","020012810",1,28,10,"1_28_10",355,7.07
"AREA#020012811","020012811",1,28,11,"1_28_11",250,6.29
"AREA#020012812","020012812",1,28,12,"1_28_12",236,7.03
"AREA#020012813","020012813",1,28,13,"1_28_13",263,7.74
"AREA#020012901","020012901",1,29,1,"1_29_1",421,7
